iter	RMSE
0	14.95443834
1	14.592244
2	14.2225602
3	13.85964473
4	13.48894152
5	13.16069806
6	12.83897155
7	12.57460623
8	12.31512796
9	12.01464941
10	11.7093201
11	11.4375635
12	11.2107215
13	10.96761175
14	10.71791193
15	10.47784158
16	10.24869594
17	10.0395405
18	9.835961793
19	9.634346513
20	9.450713444
21	9.27242327
22	9.089585418
23	8.931735397
24	8.782230885
25	8.639688758
26	8.485224345
27	8.34134672
28	8.197356429
29	8.070926257
30	7.948487848
31	7.833765577
32	7.733391357
33	7.625816335
34	7.520732228
35	7.422036138
36	7.325357024
37	7.239436278
38	7.141676595
39	7.059106432
40	6.981548971
41	6.923639544
42	6.84355124
43	6.787015191
44	6.718137823
45	6.655221215
46	6.597718269
47	6.539920427
48	6.481740431
49	6.432629773
50	6.377860142
51	6.329723924
52	6.282494958
53	6.23510832
54	6.191678064
55	6.152474041
56	6.114358785
57	6.080445377
58	6.048895879
59	6.015237812
60	5.978217104
61	5.946280806
62	5.912920296
63	5.877548229
64	5.845814077
65	5.819239502
66	5.790634261
67	5.775483679
68	5.749269709
69	5.726266054
70	5.701641897
71	5.677315745
72	5.65238378
73	5.627833852
74	5.607253472
75	5.591460317
76	5.572610722
77	5.555542448
78	5.54188504
79	5.525628714
80	5.511341521
81	5.492204026
82	5.478369543
83	5.464286767
84	5.449637578
85	5.434382975
86	5.424056042
87	5.410681522
88	5.396270785
89	5.382291504
90	5.366005555
91	5.353376137
92	5.343686376
93	5.334165446
94	5.324137728
95	5.316369923
96	5.307304753
97	5.296641902
98	5.287734945
99	5.280820406
100	5.270323872
101	5.259670477
102	5.251914249
103	5.241042307
104	5.23094867
105	5.221862534
106	5.213568504
107	5.204116596
108	5.200016914
109	5.193387463
110	5.187843307
111	5.180096109
112	5.172254948
113	5.16428035
114	5.158590888
115	5.150473189
116	5.144390287
117	5.140790585
118	5.13857714
119	5.129779033
120	5.125133589
121	5.122407364
122	5.115752137
123	5.109090464
124	5.10367656
125	5.095391517
